"";"x"
"589";"Der-Fall-Böse"
"590";"Die-3.-Generation"
"591";"Die-Atzen"
"592";"Die-Bandbreite"
"593";"Die-Coolen-Säue"
"594";"Andreas-Rieke"
"595";"Die-Glocken-der-Revolution"
"596";"DNP"
"597";"Doppelkopf"
"598";"Down-Low"
"599";"Echorausch"
"600";"DJ-Rabauke"
"601";"Einshoch6"
"602";"Eljot-Quent"
"603";"Feinkost-Paranoia"
"604";"Fil-da-Elephant"
"605";"DJ-Stachy"
"606";"Flexevil"
"607";"Philippe-A.-Kayser"
"608";"Fruchtmax-&-Hugo-Nameless"
"609";"Genetikk"
"610";"Gloomy-Boyz"
"611";"Goofiesmackerz"
"612";"Grüne-Medizin"
"613";"Harleckinz"
"614";"Hecklah-&-Coch"
"615";"Hijackers"
"616";"Icke-&-Er"
"617";"Inglebirds"
"618";"Jansen-&-Kowalski"
"619";"Junge-Dichter-und-Denker"
"620";"Käptn-Peng-&-Die-Tentakel-von-Delphi"
"621";"Robert-Gwisdek"
"622";"Keilerkopf"
"623";"Kinderzimmer-Productions"
"624";"K.I.Z"
"625";"KMN-Gang"
"626";"Azet"
"627";"Zuna"
"628";"K*Rings-Brothers"
"629";"K-Rotte"
"630";"Kurzer-Prozess"
"631";"Lecker-Sachen"
"632";"Lemon-Ice"
"633";"Geeno-Smith"
"634";"Les-Babacools"
"635";"Manfred-Groove"
"636";"Massive-Töne"
"637";"Fumanschu"
"638";"Fuat"
"639";"Mediengruppe-Telekommander"
"640";"Microphone-Mafia"
"641";"Moabeat"
"642";"DJ-Illvibe"
"643";"Mundwerk-Crew"
"644";"Nachtwandler"
"645";"N-Factor"
"646";"Noisy-Stylus"
"647";"N’Socialist-Soundsystem"
"648";"Ohrbooten"
"649";"Peti-Free"
"650";"PF-Squad"
"651";"Phase-V"
"652";"Poedra"
"653";"Prophets-of-Rage"
"654";"Puppetmastaz"
"655";"Rapsoul"
"656";"Readykill"
"657";"RockRainer"
"658";"SAM"
"659";"Saprize"
"660";"Gregor-Hennig"
"661";"Sandra-Nasic"
"662";"Schlagzeiln"
"663";"Segam-&-Andi-B."
"664";"Sisters-Keepers"
"665";"Skills-en-Masse"
"666";"Skunk-Funk"
"667";"Soko-Crew"
"668";"Sons-of-Gastarbeita"
"669";"Spektacoolär"
"670";"Sprachlabor"
"671";"Stereoids"
"672";"Stieber-Twins"
"673";"Such-a-Surge"
"674";"Tefla-&-Jaleel"
"675";"Ricarda-Wältken"
"676";"Too-Strong"
"677";"Underdog-Cru"
"678";"UnterWortverdacht"
"679";"Urbanize"
"680";"Verbales-Style-Kollektiv"
"681";"Versbox"
"682";"Waving-the-Guns"
"683";"Witten-Untouchable"
"684";"Zentrifugal"
"685";"Bas-Böttcher"
"686";"Zombiez"
"687";"Zweierpasch"
